,date,value
4,Mar '15,-3.0
5,Apr '15,-2.8
6,May '15,-1.8
7,Jun '15,-2.2
8,Jul '15,-2.7
9,Aug '15,-2.4
10,Sep '15,-2.3
11,Oct '15,-2.7
12,Nov '15,-2.4
13,Dec '15,-2.9
14,Jan '16,-2.6
15,Feb '16,-2.3
16,Mar '16,-2.7
17,Apr '16,-2.5
18,May '16,-2.8
19,Jun '16,-2.9
20,Jul '16,-2.6
21,Aug '16,-2.2
22,Sep '16,-2.3
23,Oct '16,-2.4
24,Nov '16,-2.0
25,Dec '16,-1.1
26,Jan '17,-0.5
27,Feb '17,0.2
28,Mar '17,1.2
29,Apr '17,1.5
30,May '17,2.1
31,Jun '17,2.3
32,Jul '17,2.6
33,Aug '17,2.1
34,Sep '17,3.0
35,Oct '17,4.0
36,Nov '17,4.1
37,Dec '17,3.9
38,Jan '18,3.7
39,Feb '18,3.0
40,Mar '18,3.0
41,Apr '18,2.7
42,May '18,2.3
43,Jun '18,2.0
44,Jul '18,2.3
45,Aug '18,2.5
46,Sep '18,1.5
47,Oct '18,0.9
48,Nov '18,0.5
49,Dec '18,0.7
50,Jan '19,0.9
51,Feb '19,1.1
52,Mar '19,0.8
53,Apr '19,0.7
54,May '19,1.0
55,Jun '19,1.6
56,Jul '19,1.4
57,Aug '19,1.8
58,Sep '19,1.8
59,Oct '19,1.3
60,Nov '19,2.1
61,Dec '19,1.7
62,Jan '20,1.4
63,Feb '20,1.2
64,Mar '20,1.3
65,Apr '20,1.3
66,May '20,1.8
67,Jun '20,1.1
68,Jul '20,0.8
69,Aug '20,0.4
70,Sep '20,-0.1
71,Oct '20,0.6
72,Nov '20,-0.6
73,Dec '20,-1.4
74,Jan '21,-0.7
75,Feb '21,-0.6
76,Mar '21,-1.4
77,Apr '21,-0.4
78,May '21,-1.3
79,Jun '21,-0.6
80,Jul '21,-0.6
81,Aug '21,0.3
82,Sep '21,0.8
83,Oct '21,1.2
84,Nov '21,2.5
85,Dec '21,4.2
86,Jan '22,4.3
87,Feb '22,5.1
88,Mar '22,5.9
89,Apr' 22,6.7
90,May' 22,8.6
91,Jun' 22,9.8
92,Jul '22,12.6
93,Aug '22,13.1
94,Sep '22,14.5
95,Oct '22,16.2
96,Nov '22,16.4
97,Dec '22,16.8
